Buffer size: 65536; Object size: 192; Weak refs for all: true
[GC (Allocation Failure)  20290K->7618K(22528K), 0.0058884 secs]
[GC (Allocation Failure)  19906K->7170K(22528K), 0.0014821 secs]
[GC (Allocation Failure)  19458K->8874K(22528K), 0.0232964 secs]
[GC (Allocation Failure)  21162K->8490K(22528K), 0.0182357 secs]
[GC (Allocation Failure)  20778K->8042K(22528K), 0.0116960 secs]
[GC (Allocation Failure)  20330K->7690K(22528K), 0.0060547 secs]
[GC (Allocation Failure)  19978K->7338K(22528K), 0.0011181 secs]
[GC (Allocation Failure)  19626K->8978K(22528K), 0.0197876 secs]
[GC (Allocation Failure)  21266K->8562K(22528K), 0.0152463 secs]
[GC (Allocation Failure)  20850K->8082K(22528K), 0.0105665 secs]
[GC (Allocation Failure)  20370K->7698K(22528K), 0.0051124 secs]
[GC (Allocation Failure)  19986K->7250K(22528K), 0.0015613 secs]
[GC (Allocation Failure)  19538K->8946K(22528K), 0.0207748 secs]
[GC (Allocation Failure)  21234K->8562K(22528K), 0.0168915 secs]
[GC (Allocation Failure)  20850K->8274K(22528K), 0.0113574 secs]
[GC (Allocation Failure)  20562K->7762K(22528K), 0.0064010 secs]
[GC (Allocation Failure)  20050K->7346K(22528K), 0.0014450 secs]
[GC (Allocation Failure)  19634K->9050K(22528K), 0.0237553 secs]
[GC (Allocation Failure)  21338K->8666K(22528K), 0.0177409 secs]
[GC (Allocation Failure)  20954K->8218K(22528K), 0.0124886 secs]
[GC (Allocation Failure)  20506K->7866K(22528K), 0.0055451 secs]
[GC (Allocation Failure)  20154K->7450K(22528K), 0.0010542 secs]
[GC (Allocation Failure)  19738K->9122K(22528K), 0.0214333 secs]
[GC (Allocation Failure)  21410K->8706K(22528K), 0.0149399 secs]
[GC (Allocation Failure)  20994K->8322K(22528K), 0.0103029 secs]
[GC (Allocation Failure)  20610K->7906K(22528K), 0.0056533 secs]
[GC (Allocation Failure)  20194K->7426K(22528K), 0.0013102 secs]
[GC (Allocation Failure)  19714K->9218K(22528K), 0.0230018 secs]
[GC (Allocation Failure)  21506K->8738K(22528K), 0.0164855 secs]
[GC (Allocation Failure)  21026K->8354K(22528K), 0.0107034 secs]
[GC (Allocation Failure)  20642K->7970K(22528K), 0.0053042 secs]
[GC (Allocation Failure)  20258K->7522K(22528K), 0.0015626 secs]
[GC (Allocation Failure)  19810K->9274K(22528K), 0.0242919 secs]
[GC (Allocation Failure)  21562K->8922K(22528K), 0.0177351 secs]
[GC (Allocation Failure)  21210K->8442K(22528K), 0.0115962 secs]
[GC (Allocation Failure)  20730K->8026K(22528K), 0.0060178 secs]
[GC (Allocation Failure)  20314K->7546K(22528K), 0.0012690 secs]
[GC (Allocation Failure)  19834K->9322K(22528K), 0.0206630 secs]
[GC (Allocation Failure)  21610K->8874K(22528K), 0.0158882 secs]
[GC (Allocation Failure)  21162K->8458K(22528K), 0.0110780 secs]
[GC (Allocation Failure)  20746K->8042K(22528K), 0.0056968 secs]
[GC (Allocation Failure)  20330K->7562K(22528K), 0.0015366 secs]
[GC (Allocation Failure)  19850K->9250K(22528K), 0.0212059 secs]
[GC (Allocation Failure)  21538K->8930K(22528K), 0.0175537 secs]
[GC (Allocation Failure)  21218K->8514K(22528K), 0.0110939 secs]
[GC (Allocation Failure)  20802K->8098K(22528K), 0.0054637 secs]
[GC (Allocation Failure)  20386K->7618K(22528K), 0.0015762 secs]
[GC (Allocation Failure)  19906K->9322K(22528K), 0.0220732 secs]
[GC (Allocation Failure)  21610K->8906K(22528K), 0.0168735 secs]
