Buffer size: 65536; Object size: 192; Weak refs for all: false
[GC (Allocation Failure)  20593K->8049K(22528K), 0.0155396 secs]
[GC (Allocation Failure)  20337K->7761K(22528K), 0.0117357 secs]
[GC (Allocation Failure)  20049K->7281K(22528K), 0.0074548 secs]
[GC (Allocation Failure)  19569K->6865K(22528K), 0.0029400 secs]
[GC (Allocation Failure)  19153K->8457K(22528K), 0.0199229 secs]
[GC (Allocation Failure)  20745K->8265K(22528K), 0.0186569 secs]
[GC (Allocation Failure)  20553K->7849K(22528K), 0.0131216 secs]
[GC (Allocation Failure)  20137K->7497K(22528K), 0.0078387 secs]
[GC (Allocation Failure)  19785K->7113K(22528K), 0.0022721 secs]
[GC (Allocation Failure)  19401K->8737K(22528K), 0.0227620 secs]
[GC (Allocation Failure)  21025K->8481K(22528K), 0.0182437 secs]
[GC (Allocation Failure)  20769K->8129K(22528K), 0.0133249 secs]
[GC (Allocation Failure)  20417K->7681K(22528K), 0.0070268 secs]
[GC (Allocation Failure)  19969K->7329K(22528K), 0.0022006 secs]
[GC (Allocation Failure)  19617K->8977K(22528K), 0.0221891 secs]
[GC (Allocation Failure)  21265K->8689K(22528K), 0.0170056 secs]
[GC (Allocation Failure)  20977K->8273K(22528K), 0.0128128 secs]
[GC (Allocation Failure)  20561K->7889K(22528K), 0.0068776 secs]
[GC (Allocation Failure)  20177K->7537K(22528K), 0.0018063 secs]
[GC (Allocation Failure)  19825K->9153K(22528K), 0.0234130 secs]
[GC (Allocation Failure)  21441K->8929K(22528K), 0.0184174 secs]
[GC (Allocation Failure)  21217K->8481K(22528K), 0.0124506 secs]
[GC (Allocation Failure)  20769K->8129K(22528K), 0.0077437 secs]
[GC (Allocation Failure)  20417K->7745K(22528K), 0.0026680 secs]
[GC (Allocation Failure)  20033K->9313K(22528K), 0.0182520 secs]
[GC (Allocation Failure)  21601K->9089K(22528K), 0.0154325 secs]
[GC (Allocation Failure)  21377K->8673K(22528K), 0.0133157 secs]
[GC (Allocation Failure)  20961K->8257K(22528K), 0.0053620 secs]
[GC (Allocation Failure)  20545K->7873K(22528K), 0.0022009 secs]
[GC (Allocation Failure)  20161K->9633K(22528K), 0.0209011 secs]
[Full GC (Ergonomics)  9633K->3365K(22528K), 0.0452739 secs]
[GC (Allocation Failure)  15653K->4901K(22528K), 0.0189464 secs]
[GC (Allocation Failure)  17189K->4453K(22528K), 0.0129164 secs]
[GC (Allocation Failure)  16741K->4069K(22528K), 0.0083341 secs]
[GC (Allocation Failure)  16357K->3685K(22528K), 0.0026232 secs]
[GC (Allocation Failure)  15973K->5373K(22528K), 0.0204409 secs]
[GC (Allocation Failure)  17661K->5053K(22528K), 0.0148027 secs]
[GC (Allocation Failure)  17341K->4701K(22528K), 0.0115839 secs]
[GC (Allocation Failure)  16989K->4221K(22528K), 0.0058681 secs]
[GC (Allocation Failure)  16509K->3869K(22528K), 0.0023501 secs]
[GC (Allocation Failure)  16157K->5557K(22528K), 0.0221466 secs]
[GC (Allocation Failure)  17845K->5269K(22528K), 0.0145279 secs]
[GC (Allocation Failure)  17557K->4821K(22528K), 0.0135474 secs]
[GC (Allocation Failure)  17109K->4373K(22528K), 0.0078162 secs]
[GC (Allocation Failure)  16661K->4053K(22528K), 0.0029323 secs]
[GC (Allocation Failure)  16341K->5725K(22528K), 0.0208897 secs]
[GC (Allocation Failure)  18013K->5437K(22528K), 0.0138591 secs]
[GC (Allocation Failure)  17725K->5085K(22528K), 0.0128496 secs]
[GC (Allocation Failure)  17373K->4541K(22528K), 0.0051221 secs]
[GC (Allocation Failure)  16829K->4189K(22528K), 0.0027810 secs]
[GC (Allocation Failure)  16477K->5805K(22528K), 0.0210806 secs]
[GC (Allocation Failure)  18093K->5517K(22528K), 0.0166789 secs]
[GC (Allocation Failure)  17805K->5133K(22528K), 0.0105732 secs]
[GC (Allocation Failure)  17421K->4717K(22528K), 0.0069964 secs]
[GC (Allocation Failure)  17005K->4429K(22528K), 0.0017947 secs]
[GC (Allocation Failure)  16717K->6029K(22528K), 0.0166804 secs]
[GC (Allocation Failure)  18317K->5741K(22528K), 0.0180114 secs]
[GC (Allocation Failure)  18029K->5261K(22528K), 0.0122957 secs]
[GC (Allocation Failure)  17549K->4813K(22528K), 0.0060395 secs]
[GC (Allocation Failure)  17101K->4557K(22528K), 0.0020773 secs]
[GC (Allocation Failure)  16845K->6157K(22528K), 0.0224434 secs]
[GC (Allocation Failure)  18445K->5869K(22528K), 0.0181731 secs]
[GC (Allocation Failure)  18157K->5421K(22528K), 0.0122983 secs]
[GC (Allocation Failure)  17709K->5101K(22528K), 0.0062306 secs]
[GC (Allocation Failure)  17389K->4717K(22528K), 0.0020575 secs]
[GC (Allocation Failure)  17005K->6277K(22528K), 0.0233857 secs]
[GC (Allocation Failure)  18565K->6021K(22528K), 0.0183413 secs]
[GC (Allocation Failure)  18309K->5573K(22528K), 0.0094172 secs]
[GC (Allocation Failure)  17861K->5253K(22528K), 0.0068986 secs]
[GC (Allocation Failure)  17541K->4837K(22528K), 0.0010294 secs]
[GC (Allocation Failure)  17125K->6525K(22528K), 0.0211680 secs]
[GC (Allocation Failure)  18813K->6205K(22528K), 0.0174668 secs]
[GC (Allocation Failure)  18493K->5725K(22528K), 0.0106388 secs]
[GC (Allocation Failure)  18013K->5309K(22528K), 0.0054978 secs]
[GC (Allocation Failure)  17597K->5021K(22528K), 0.0014781 secs]
[GC (Allocation Failure)  17309K->6533K(22528K), 0.0169251 secs]
[GC (Allocation Failure)  18821K->6277K(22528K), 0.0160447 secs]
[GC (Allocation Failure)  18565K->5893K(22528K), 0.0110619 secs]
[GC (Allocation Failure)  18181K->5477K(22528K), 0.0064379 secs]
[GC (Allocation Failure)  17765K->5125K(22528K), 0.0022704 secs]
[GC (Allocation Failure)  17413K->6757K(22528K), 0.0224798 secs]
[GC (Allocation Failure)  19045K->6405K(22528K), 0.0194197 secs]
[GC (Allocation Failure)  18693K->6053K(22528K), 0.0113371 secs]
[GC (Allocation Failure)  18341K->5541K(22528K), 0.0065628 secs]
[GC (Allocation Failure)  17829K->5285K(22528K), 0.0015681 secs]
[GC (Allocation Failure)  17573K->6885K(22528K), 0.0235339 secs]
