[GC (Allocation Failure) -- 20425K->20473K(22528K), 0.0136643 secs]
[Full GC (Ergonomics)  20473K->4552K(22528K), 0.0125570 secs]
[GC (Allocation Failure) -- 16840K->20472K(22528K), 0.0519879 secs]
[Full GC (Ergonomics)  20472K->16837K(22528K), 0.0547455 secs]
[GC (Allocation Failure) -- 20419K->20475K(22528K), 0.0128869 secs]
[Full GC (Ergonomics)  20475K->4545K(22528K), 0.0115963 secs]
[GC (Allocation Failure) -- 16833K->20473K(22528K), 0.0472318 secs]
[Full GC (Ergonomics)  20473K->16829K(22528K), 0.0541378 secs]
[GC (Allocation Failure) -- 20423K->20479K(22528K), 0.0142592 secs]
[Full GC (Ergonomics)  20479K->4550K(22528K), 0.0118255 secs]
[GC (Allocation Failure) -- 16838K->20478K(22528K), 0.0460847 secs]
[Full GC (Ergonomics)  20478K->16836K(22528K), 0.0547686 secs]
[GC (Allocation Failure) -- 20426K->20474K(22528K), 0.0129274 secs]
[Full GC (Ergonomics)  20474K->4552K(22528K), 0.0110483 secs]
[GC (Allocation Failure) -- 16840K->20472K(22528K), 0.0472539 secs]
[Full GC (Ergonomics)  20472K->16838K(22528K), 0.0541937 secs]
[GC (Allocation Failure) -- 20421K->20477K(22528K), 0.0135929 secs]
[Full GC (Ergonomics)  20477K->4546K(22528K), 0.0122134 secs]
[GC (Allocation Failure) -- 16834K->20474K(22528K), 0.0476242 secs]
[Full GC (Ergonomics)  20474K->16830K(22528K), 0.0650116 secs]
[GC (Allocation Failure) -- 20429K->20477K(22528K), 0.0178801 secs]
[Full GC (Ergonomics)  20477K->4556K(22528K), 0.0207117 secs]
[GC (Allocation Failure) -- 16844K->20476K(22528K), 0.0553700 secs]
[Full GC (Ergonomics)  20476K->16839K(22528K), 0.0543372 secs]
[GC (Allocation Failure) -- 20422K->20478K(22528K), 0.0143111 secs]
[Full GC (Ergonomics)  20478K->4548K(22528K), 0.0130844 secs]
[GC (Allocation Failure) -- 16836K->20476K(22528K), 0.0498371 secs]
[Full GC (Ergonomics)  20476K->16831K(22528K), 0.0549518 secs]
[GC (Allocation Failure) -- 20424K->20472K(22528K), 0.0135665 secs]
[Full GC (Ergonomics)  20472K->4550K(22528K), 0.0129135 secs]
[GC (Allocation Failure) -- 16838K->20478K(22528K), 0.0501893 secs]
[Full GC (Ergonomics)  20478K->16834K(22528K), 0.0548085 secs]
[GC (Allocation Failure) -- 20428K->20476K(22528K), 0.0131750 secs]
[Full GC (Ergonomics)  20476K->4554K(22528K), 0.0134842 secs]
[GC (Allocation Failure) -- 16842K->20474K(22528K), 0.0539913 secs]
[Full GC (Ergonomics)  20474K->16839K(22528K), 0.0572074 secs]
[GC (Allocation Failure) -- 20423K->20479K(22528K), 0.0137103 secs]
[Full GC (Ergonomics)  20479K->4549K(22528K), 0.0125855 secs]
[GC (Allocation Failure) -- 16837K->20477K(22528K), 0.0477821 secs]
[Full GC (Ergonomics)  20477K->16836K(22528K), 0.0542334 secs]
[GC (Allocation Failure) -- 20470K->20478K(22528K), 0.0131266 secs]
[Full GC (Ergonomics)  20478K->4596K(22528K), 0.0125807 secs]
